name,country,company,percent_shares
RAM Active Investments S.A.,Switzerland,Anglo American,<0.01%
Prescient Wealth Management (Pty) Ltd,South Africa,Anglo American,<0.01%
ABN AMRO Investment Solutions (AAIS),France,Anglo American,<0.01%
Mediobanca SGR S.p.A.,Italy,Anglo American,<0.01%
Matrix Capital Management Trust reg.,Liechtenstein,Anglo American,<0.01%
PFA Asset Management,Denmark,Anglo American,<0.01%
Efficient Select (Pty) Ltd.,South Africa,Anglo American,<0.01%
Capital Innovations LLC,USA,Anglo American,<0.01%
"Bankia Fondos, S.G.I.I.C., S.A.",Spain,Anglo American,<0.01%
SYZ Asset Management Suisse SA,Switzerland,Anglo American,<0.01%
ERSTE-SPARINVEST Kapitalanlagegesellschaft mbH,Austria,Anglo American,<0.01%
NNIP Asset Management B.V.,Netherlands,Anglo American,<0.01%
Franklin Equity Group,USA,Anglo American,<0.01%
"IM Gestão de Ativos, Sociedade Gestora de Fundos de Investimento, S.A.",Portugal,Anglo American,<0.01%
CA Indosuez Wealth (Europe) S.A.,Luxembourg,Anglo American,<0.01%
Counterpoint Asset Management,South Africa,Anglo American,<0.01%
Tcam Asset Management Limited,UK,Anglo American,<0.01%
Macquarie Investment Management Austria Kapitalanlage AG,Austria,Anglo American,<0.01%
Eastspring Investments (Singapore) Limited,Singapore,Anglo American,<0.01%
Galileo Capital (Pty) Ltd,South Africa,Anglo American,<0.01%
LBBW Asset Management Investmentgesellschaft mbH,Germany,Anglo American,<0.01%
"Samsung Asset Management Co., Ltd.",South Korea,Anglo American,<0.01%
"Milliman Financial Risk Management, LLC",USA,Anglo American,<0.01%
Harvard House Investment Management (Pty) Ltd.,South Africa,Anglo American,<0.01%
Noble Funds Towarzystwo Funduszy Inwestycyjnych S.A.,Poland,Anglo American,<0.01%
Swisscanto Fondsleitung AG,Switzerland,Anglo American,<0.01%
"Symmetry Partners, LLC.",USA,Anglo American,<0.01%
Excelsia Capital Proprietary Limited,South Africa,Anglo American,<0.01%
First State Investments (HK) Ltd.,Hong Kong,Anglo American,<0.01%
Salvo Investment Managers Pty Ltd,South Africa,Anglo American,<0.01%
Investhouse International (Pty) Ltd,South Africa,Anglo American,<0.01%
"Andbank Wealth Management, SGIIC, S.A.U.",Spain,Anglo American,<0.01%
Universal-Investment-Luxembourg S.A.,Luxembourg,Anglo American,<0.01%
HSBC Global Asset Management (USA) Inc.,USA,Anglo American,<0.01%
Mergence Investment Managers (Pty) Ltd,South Africa,Anglo American,<0.01%
Oddo BHF Asset Management GmbH,Germany,Anglo American,<0.01%
Nordea Funds Oy,Finland,Anglo American,<0.01%
Bank Dierickx Leys N.V.,Belgium,Anglo American,<0.01%
Victory Capital Management Inc.,USA,Anglo American,<0.01%
Warburg Invest Kapitalanlagegesellschaft mbH,Germany,Anglo American,<0.01%
Thompson (Jack Edward),UK,Anglo American,<0.01%
FMR Investment Management (U.K.) Limited,UK,Anglo American,<0.01%
Highstreet Asset Management Inc.,Canada,Anglo American,<0.01%
PineBridge Investments LLC,USA,Anglo American,<0.01%
Rometsch & Moor Limited,UK,Anglo American,<0.01%
Zurich Insurance Group,Switzerland,Anglo American,<0.01%
Autus Fund Managers (Pty) Ltd.,South Africa,Anglo American,<0.01%
FIL Investment Management (Australia) Limited,Australia,Anglo American,<0.01%
UBS Wealth Management AG (US),USA,Anglo American,<0.01%
SA Asset Management,South Africa,Anglo American,<0.01%
"Sumitomo Mitsui DS Asset Management Company, Limited",Japan,Anglo American,<0.01%
Symphonia SGR Spa,Italy,Anglo American,<0.01%
"Montepio Gestão de Activos - SGFI, S.A.",Portugal,Anglo American,<0.01%
ABN AMRO Private Banking Belgium SA,Belgium,Anglo American,<0.01%
Platinum Capital Management Limited,UK,Anglo American,<0.01%
Scotia Administradora General de Fondos Chile S.A.,Chile,Anglo American,<0.01%
JM Busha Investment Group (Pty) Limited,South Africa,Anglo American,<0.01%
Anchor Securities Private Wealth (Pty) Ltd,South Africa,Anglo American,<0.01%
Investec Wealth & Investment Limited,UK,Anglo American,<0.01%
Brompton Asset Management LLP,UK,Anglo American,<0.01%
Tiberius Asset Management AG,Switzerland,Anglo American,<0.01%
Sun Life Global Investments (Canada) Inc.,Canada,Anglo American,<0.01%
Cigogne Management S.A.,Luxembourg,Anglo American,<0.01%
UBS Deutschland AG,Germany,Anglo American,<0.01%
Argon Asset Management (Pty.) Ltd.,South Africa,Anglo American,<0.01%
INVESCO Asset Management (Japan) Ltd.,Japan,Anglo American,<0.01%
Winton Capital Management Ltd.,UK,Anglo American,<0.01%
BG Fund Management Luxembourg S.A.,Luxembourg,Anglo American,<0.01%
Sal. Oppenheim jr. & Cie. AG & Co. KGaA (Asset Management),Germany,Anglo American,<0.01%
Plato Investment Management Limited,Australia,Anglo American,<0.01%
ALTKÖNIG Asset Management GmbH,Germany,Anglo American,<0.01%
Caleo Capital (Pty) Limited,South Africa,Anglo American,<0.01%
Compass Asset Management SA,Switzerland,Anglo American,<0.01%
Flagship Asset Management (Pty) Limited,South Africa,Anglo American,<0.01%
Investitori SGR S.p.A.,Italy,Anglo American,<0.01%
"Wilmington Trust Investment Advisors, Inc.",USA,Anglo American,<0.01%
Baobab Capital Pty. Ltd,Namibia,Anglo American,<0.01%
Calvert Research and Management,USA,Anglo American,<0.01%
Security Kapitalanlage AG,Austria,Anglo American,<0.01%
"Gesalcalá S.G.I.I.C., S.A.",Spain,Anglo American,<0.01%
Ampega Investment GmbH,Germany,Anglo American,<0.01%
Zenit SGR S.p.A.,Italy,Anglo American,<0.01%
Neuberger Berman Breton Hill ULC,Canada,Anglo American,<0.01%
Ceresio Investors,UK,Anglo American,<0.01%
Chambers (Stuart J),UK,Anglo American,<0.01%
Swiss Rock Asset Management AG,Switzerland,Anglo American,<0.01%
"Smith Asset Management Group, LP",USA,Anglo American,<0.01%
LähiTapiola Varainhoito Oy,Finland,Anglo American,<0.01%
Baring Asset Management (Asia) Limited,Hong Kong,Anglo American,<0.01%
True North Capital Management (Pty) Ltd.,South Africa,Anglo American,<0.01%
Radin Capital Partners Inc.,Canada,Anglo American,<0.01%
Ampersand Asset Management (Pty) Ltd.,South Africa,Anglo American,<0.01%
Craton Capital (Pty) Ltd,South Africa,Anglo American,<0.01%
MD Financial Management Inc.,Canada,Anglo American,<0.01%
Cohen & Steers UK Limited,UK,Anglo American,<0.01%
State Street Global Advisors Australia Ltd.,Australia,Anglo American,<0.01%
"Jih Sun Securities Investment Trust Co., Ltd.",Taiwan,Anglo American,<0.01%
1875 Finance SA,Switzerland,Anglo American,<0.01%
TBI Investment Managers (Pty) Ltd,South Africa,Anglo American,<0.01%
"Asset Management One Co., Ltd.",Japan,Anglo American,<0.01%
Warburg Invest AG,Germany,Anglo American,<0.01%
Cohesive Capital (Pty) Ltd,South Africa,Anglo American,<0.01%
Aberdeen Standard Investments (Asia) Limited,Singapore,Anglo American,<0.01%
Multivest Asset Management (Pty) Ltd,South Africa,Anglo American,<0.01%
Wiséam S.A.S.,France,Anglo American,<0.01%
FAL Invest (Pty) Ltd,South Africa,Anglo American,<0.01%
Ramatlapeng (Mphu),UK,Anglo American,<0.01%
FTC Capital GmbH,Austria,Anglo American,<0.01%
X-Chequer Fund Management (Pty) Ltd.,South Africa,Anglo American,<0.01%
Trésor Wealth (Pty) Ltd.,South Africa,Anglo American,<0.01%
Integrated Managed Investments (Pty) Limited,South Africa,Anglo American,<0.01%
Meiji Yasuda Asset Management Company Ltd.,Japan,Anglo American,<0.01%
Dinamika Fund Managers (Pty) Ltd,South Africa,Anglo American,<0.01%
Generali Insurance Asset Management S.p.A. SGR,Italy,Anglo American,<0.01%
"JKO Asset Management Co., Ltd.",Taiwan,Anglo American,<0.01%
BlackRock Asset Management North Asia Limited,Hong Kong,Anglo American,<0.01%
Controlfida (Suisse) SA,Switzerland,Anglo American,<0.01%
"Trea Asset Management S.G.I.I.C., S.A.",Spain,Anglo American,<0.01%
C-QUADRAT Wealth Management GmbH,Austria,Anglo American,<0.01%
EdgeHill Partners,Canada,Anglo American,<0.01%
Landry Investment Management Inc.,Canada,Anglo American,<0.01%
M1 Capital Investments (Pty) Ltd,South Africa,Anglo American,<0.01%
"CCB Principal Asset Management Co., Ltd.",China,Anglo American,<0.01%
Imalivest (Pty) Ltd.,South Africa,Anglo American,<0.01%
AXA Investment Managers UK Ltd.,UK,Anglo American,<0.01%
Old Mutual Multi-Managers,South Africa,Anglo American,<0.01%
Cannon Asset Managers (Pty) Ltd.,South Africa,Anglo American,<0.01%
Portfolio Bureau Investments (Pty) Ltd.,South Africa,Anglo American,<0.01%
Fiera Capital Corporation,Canada,Anglo American,<0.01%
FinEx Capital Management LLP,UK,Anglo American,<0.01%
Edge Capital (Pty) Ltd.,South Africa,Anglo American,<0.01%
"Rock Creek Group, L.P.",USA,Anglo American,<0.01%
"Agincourt Capital Management, L.L.C.",USA,Anglo American,<0.01%
Lingohr & Partner Asset Management GmbH,Germany,Anglo American,<0.01%
Rebalance Fund Managers (Pty) Ltd,South Africa,Anglo American,<0.01%
"Vontobel Asset Management, Inc.",USA,Anglo American,<0.01%
La Banque Postale Structured Asset Management,France,Anglo American,<0.01%
Maestro Investment Management (Pty) Ltd.,South Africa,Anglo American,<0.01%
Harvest Portfolios Group Inc,Canada,Anglo American,<0.01%
Renaissance Wealth Management (Pty) Ltd,South Africa,Anglo American,<0.01%
Cratos Asset Management (Pty) Ltd,South Africa,Anglo American,<0.01%
von der Heydt & Co. AG,Germany,Anglo American,<0.01%
Consilium Capital SA Pty Ltd,South Africa,Anglo American,<0.01%
Imara Asset Management SA (Pty) Ltd.,South Africa,Anglo American,<0.01%
Stanlib Namibia (Pty) Ltd.,Namibia,Anglo American,<0.01%
"Novo Banco Gestion, SGIIC, S.A.",Spain,Anglo American,<0.01%
First State Investments (U.K.) Ltd,UK,Anglo American,<0.01%
ERSEL Gestion Internationale S.A.,Luxembourg,Anglo American,<0.01%
Heiden Grimaud Asset Management (Pty) Ltd,South Africa,Anglo American,<0.01%
Vontobel Asset Management S.A.,Luxembourg,Anglo American,<0.01%
"Timothy Partners, Ltd.",USA,Anglo American,<0.01%
"Research Affiliates, LLC",USA,Anglo American,<0.01%
"Keppler Asset Management, Inc.",USA,Anglo American,<0.01%
Valu-Trac Investment Management Ltd.,UK,Anglo American,<0.01%
ProFund Advisors LLC,USA,Anglo American,<0.01%
Alpha Asset Management (Pty) Ltd.,South Africa,Anglo American,<0.01%
Bantleon Bank AG,Switzerland,Anglo American,<0.01%
Ginsburg and Selby Private Wealth (PTY) Ltd,South Africa,Anglo American,<0.01%
Griffith (C L),UK,Anglo American,<0.01%
Methodical Investment Management (Pty) Ltd.,South Africa,Anglo American,<0.01%
Principal Global Investors (Fixed Income),USA,Anglo American,<0.01%
Capstone 293 (Pty) Ltd,South Africa,Anglo American,<0.01%
Altinvest MultiAsset Fund Management,South Africa,Anglo American,<0.01%
Berner Kantonalbank AG,Switzerland,Anglo American,<0.01%
Desjardins Global Asset Management,Canada,Anglo American,<0.01%
UBS Asset Management (Australia) Ltd.,Australia,Anglo American,<0.01%
Quadrant Family Wealth Advisors,USA,Anglo American,<0.01%
Nomura Asset Management Taiwan Limited,Taiwan,Anglo American,<0.01%
Stevens (Anne L),USA,Anglo American,<0.01%
Fakude (Nolitha Victoria),UK,Anglo American,<0.01%
Iron Trust Vermögensverwaltungs AG,Liechtenstein,Anglo American,<0.01%
NBG Asset Management Mutual Funds Management Company S.A.,Greece,Anglo American,<0.01%
"Capital Asset Management Co., Ltd.",Japan,Anglo American,<0.01%
Pharus Management S.A.,Switzerland,Anglo American,<0.01%
Huysamer Capital Investments (Pty) Ltd,South Africa,Anglo American,<0.01%
Vontobel Asset Management S.A. - Niederlassung München,Germany,Anglo American,<0.01%
IST Investmentstiftung,Switzerland,Anglo American,<0.01%
"Hirtle, Callaghan & Co., LLC",USA,Anglo American,<0.01%
Edge Investimentos,Brazil,Anglo American,<0.01%
Corion Capital (Pty) Ltd,South Africa,Anglo American,<0.01%
"Exchange Traded Concepts, LLC",USA,Anglo American,<0.01%
Robeco Hong Kong Limited,Hong Kong,Anglo American,<0.01%
"Bank of China Investment Management Co., Ltd.",China,Anglo American,<0.01%
Intrag DTVM Ltda.,Brazil,Anglo American,<0.01%
Incrementum AG,Liechtenstein,Anglo American,<0.01%
"Finaccess México, S.A. de C.V.",Mexico,Anglo American,<0.01%
"Affinity Investment Advisors, LLC",USA,Anglo American,<0.01%
Wallberg Invest S.A.,Luxembourg,Anglo American,<0.01%
Bastos (Marcelo),UK,Anglo American,<0.01%
Vescore AG,Switzerland,Anglo American,<0.01%
Mirae Asset Global Investments (USA) LLC,USA,Anglo American,<0.01%
"BPI Gestão de Activos - S.G.F.I.M., S.A.",Portugal,Anglo American,<0.01%
Schroder Investment Management (Hong Kong) Ltd.,Hong Kong,Anglo American,<0.01%
Maru Asset Managers (Pty) Ltd_NLE,South Africa,Anglo American,<0.01%
Fubon Asset Management Company Ltd.,Taiwan,Anglo American,<0.01%
"Spectrum Asset Management, Inc.",USA,Anglo American,<0.01%
Towarzystwo Funduszy Inwestycyjnych Allianz Polska SA,Poland,Anglo American,<0.01%
"Sumitomo Mitsui Trust Asset Management Co., Ltd.",Japan,Anglo American,<0.01%
"QS Investors, LLC",USA,Anglo American,<0.01%
Welzia Management SGIIC S.A.,Spain,Anglo American,<0.01%
Mkhwanazi (Themba),South Africa,Anglo American,<0.01%
Tower Capital Management (Pty) Ltd,South Africa,Anglo American,<0.01%
Nomura Asset Management Singapore Ltd.,Singapore,Anglo American,<0.01%
Nextam Partners SGR S.p.A.,Italy,Anglo American,<0.01%
Emperor Asset Management,South Africa,Anglo American,<0.01%
Graubündner Kantonalbank,Switzerland,Anglo American,<0.01%
PIMCO Europe Ltd.,UK,Anglo American,<0.01%
The Bank of New York Mellon (ADS),USA,AngloGold Ashanti,44.00%
Van Eck Associates Corporation,USA,AngloGold Ashanti,12.70%
"BlackRock Institutional Trust Company, N.A.",USA,AngloGold Ashanti,7.98%
Public Investment Corporation (SOC) Limited,South Africa,AngloGold Ashanti,6.15%
"Dimensional Fund Advisors, L.P.",USA,AngloGold Ashanti,4.43%
"The Vanguard Group, Inc.",USA,AngloGold Ashanti,3.52%
Paulson & Co. Inc.,USA,AngloGold Ashanti,3.10%
Old Mutual Investment Group (South Africa) (Pty) Limited,South Africa,AngloGold Ashanti,2.69%
Investec Asset Management (Pty) Ltd.,South Africa,AngloGold Ashanti,2.61%
Fidelity Management & Research Company,USA,AngloGold Ashanti,1.95%
GIC Private Limited,Singapore,AngloGold Ashanti,1.62%
Norges Bank Investment Management (NBIM),Norway,AngloGold Ashanti,0.79%
TOBAM,France,AngloGold Ashanti,0.75%
CPP Investment Board,Canada,AngloGold Ashanti,0.51%
APG Asset Management N.V.,Netherlands,AngloGold Ashanti,0.44%
BlackRock Advisors (UK) Limited,UK,AngloGold Ashanti,0.36%
Fairtree Asset Management (Pty) Ltd,South Africa,AngloGold Ashanti,0.35%
Capital World Investors,USA,AngloGold Ashanti,0.34%
Oasis Asset Management Ltd.,South Africa,AngloGold Ashanti,0.33%
Sanlam Investment Management (Pty) Ltd.,South Africa,AngloGold Ashanti,0.31%
Union Investment Privatfonds GmbH,Germany,AngloGold Ashanti,0.29%
"Northern Trust Investments, Inc.",USA,AngloGold Ashanti,0.27%
Investec Asset Management Ltd.,UK,AngloGold Ashanti,0.27%
Fideuram Asset Management (Ireland) dac,Ireland,AngloGold Ashanti,0.25%
Caisse de Depot et Placement du Quebec,Canada,AngloGold Ashanti,0.25%
GAM International Management Ltd.,UK,AngloGold Ashanti,0.25%
LGT Capital Partners Ltd.,Switzerland,AngloGold Ashanti,0.25%
Stewart Investors,UK,AngloGold Ashanti,0.24%
PSG Asset Management (Pty) Ltd,South Africa,AngloGold Ashanti,0.23%
"Charles Schwab Investment Management, Inc.",USA,AngloGold Ashanti,0.23%
ASA Gold and Precious Metals Limited,USA,AngloGold Ashanti,0.22%
California Public Employees' Retirement System,USA,AngloGold Ashanti,0.18%
"Geode Capital Management, L.L.C.",USA,AngloGold Ashanti,0.18%
Nuveen LLC,USA,AngloGold Ashanti,0.16%
Sjunde AP-fonden,Sweden,AngloGold Ashanti,0.15%
Florida State Board of Administration,USA,AngloGold Ashanti,0.14%
UBS Asset Management (UK) Ltd.,UK,AngloGold Ashanti,0.13%
Tredje AP Fonden,Sweden,AngloGold Ashanti,0.12%
Credit Suisse Asset Management,Switzerland,AngloGold Ashanti,0.12%
First Sentier Investors,Australia,AngloGold Ashanti,0.11%
Momentum Asset Management (Pty) Ltd.,South Africa,AngloGold Ashanti,0.11%
STANLIB Asset Management Ltd.,South Africa,AngloGold Ashanti,0.10%
JPMorgan Asset Management,USA,AngloGold Ashanti,0.10%
Stabilitas GmbH,Germany,AngloGold Ashanti,0.09%
Truffle Asset Management (Pty) Limited,South Africa,AngloGold Ashanti,0.09%
JPMorgan Asset Management U.K. Limited,UK,AngloGold Ashanti,0.09%
Taquanta Asset Managers (Pty) Ltd,South Africa,AngloGold Ashanti,0.09%
State Street Global Advisors (US),USA,AngloGold Ashanti,0.08%
Pictet Asset Management Ltd.,UK,AngloGold Ashanti,0.08%
BlackRock Investment Management (UK) Ltd.,UK,AngloGold Ashanti,0.07%
"Franklin Advisers, Inc.",USA,AngloGold Ashanti,0.07%
Ashburton Fund Managers (Proprietary) Limited,South Africa,AngloGold Ashanti,0.07%
Element Investment Managers (Pty) Ltd,South Africa,AngloGold Ashanti,0.07%
Northern Trust Global Investments Limited,UK,AngloGold Ashanti,0.07%
State Street Global Advisors (UK) Ltd.,UK,AngloGold Ashanti,0.07%
Trexquant Investment LP,USA,AngloGold Ashanti,0.06%
36ONE Asset Management (Pty) Ltd,South Africa,AngloGold Ashanti,0.06%
Odey Asset Management LLP,UK,AngloGold Ashanti,0.06%
Goldman Sachs Asset Management (US),USA,AngloGold Ashanti,0.06%
"Nomura Asset Management Co., Ltd.",Japan,AngloGold Ashanti,0.06%
PGGM Vermogensbeheer B.V.,Netherlands,AngloGold Ashanti,0.06%
Electus Fund Managers Proprietary Limited,South Africa,AngloGold Ashanti,0.06%
