Company,Mine Site,Aliases,Company's share (%),Country,Mining type,Products,Status as of 29.11.2019,Year of closure (if applicable),Opening Year,Acquisition Year,Latitude,Longitude,Selected for the mine-site level evaluation,Total Worker Fatalities (2017),Employee Fatalites (2017),Contract Worker Fatalities (2017),Other Fatalities (2017),Total Worker Fatalities (2018),Employee Fatalities (2018),Contract Worker Fatalities (2018),Other Fatalities (2018)
Coal India,Amritnagar,"ECL, Cluster 9",100,India,Underground,Coal,Operational,,,,23.614,87.084,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Ananta,MCL,100,India,Open-pit,Coal,Operational,,1991,1991,20.959,85.1906,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported
Coal India,Ara,"CCL, Kuju",100,India,Open-pit,Coal,Operational,,,,23.7281,85.511,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Argada,"CCL, Argada",100,India,Underground,Coal,Operational,,,,23.6462,85.4505,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Ashoka,"CCL, Piparwar",100,India,Open-pit,Coal,Operational,,,,23.7214,85.0478,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Badjna,"ECL, Cluster 1",100,India,"Open-pit, Underground",Coal,Operational,,,,23.801,86.697,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Bagdigi,"BCCL, Lodna, Cluster IX",100,India,Underground,Coal,Operational,,,,23.7078,86.4305,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Bahula Group of Mines,"ECL, Cluster 11, Lower Kenda, CL Jambad",100,India,,Coal,Operational,,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Baikunthpur,"SECL, Central India Coalfields (CIC)",100,India,,Coal,Operational,,,,23.2168,82.5222,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Balanda,MCL,100,India,,Coal,"Care and maintenance, or closure or post-closure management",Unknown,,,20.941776,85.14866,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Balaram,"MCL, Kalinga",100,India,,Coal,"Care and maintenance, or closure or post-closure management",Unknown,,,20.5167,84.7167,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Ballarpur,"WCL, Ballarpur",100,India,"Open-pit, Underground",Coal,Operational,,,,19.83009,79.350295,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Bankola,"ECL, Cluster 12",100,India,Underground,Coal,Operational,,,,23.66,87.247,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Bansra,"ECL, Cluster 10",100,India,,Coal,Operational,,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Bararee,"BCCL, Lodna, Cluster IX",100,India,Underground,Coal,Operational,,,,23.6955,86.4332,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Barmondia,"ECL, Cluster 7",100,India,Underground,Coal,Operational,,,,23.734,86.957,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Barmuri,"ECL, Cluster 2, Baramuri",100,India,Open-pit,Coal,Operational,,,,23.7515,86.8115,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Basantimata,"BCCL, Chanch/Victoria, East Palasha, Jamdohi Basantimata, Palasia, Shri Raghunathji, Cluster XVI",100,India,Underground,Coal,Operational,,,,23.733,86.743,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
